customer_id,segment,favorite_category,favorite_product,recommended_product,recommended_category,recommendation_basis,recommendation_reason,cross_sell_product_from_rule,cross_sell_category_from_rule,cross_sell_reason,associated_category_options,nudge_type,action_recommendation,priority_score,message_template
76,Champions,Alat Tulis,Map Plastik Kiky,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Map Plastik Kiky,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",334,Customer 76: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
81,Champions,Alat Tulis,Map Plastik Kiky,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Map Plastik Kiky,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",334,Customer 81: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
84,Champions,Makanan,Beras Rojolele 5kg,Udang Windu/kg,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Shampoo Clear,Perawatan Tubuh,Berdasarkan asosiasi produk dari Beras Rojolele 5kg,"Alat Tulis, Minuman",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",334,Customer 84: tawarkan Udang Windu/kg (Makanan) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
89,Champions,Alat Tulis,Buku Gambar Karton,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Kecap Bango,Makanan,Berdasarkan asosiasi produk dari Buku Gambar Karton,"Makanan, Rokok",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",334,Customer 89: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
3,Loyal Customers,Alat Tulis,Map Plastik Kiky,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Map Plastik Kiky,"Makanan, Rokok",Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",321,Customer 3: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
98,Loyal Customers,Perawatan Tubuh,Masker Wardah,Shampoo Clear,Perawatan Tubuh,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.,U Mild,Rokok,Berdasarkan asosiasi produk dari Masker Wardah,Bayi,Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",319,Customer 98: tawarkan Shampoo Clear (Perawatan Tubuh) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.
103,Loyal Customers,Alat Tulis,Map Plastik Kiky,Gunting Fiskars,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Map Plastik Kiky,"Makanan, Rokok",Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",319,Customer 103: tawarkan Gunting Fiskars (Alat Tulis) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
104,Loyal Customers,Alat Tulis,Buku Tulis Sidu,Map Plastik Kiky,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Masker Wardah,Perawatan Tubuh,Berdasarkan asosiasi produk dari U Mild,"Makanan, Rokok",Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",319,Customer 104: tawarkan Map Plastik Kiky (Alat Tulis) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
74,Champions,Makanan,Udang Windu/kg,Margarin Palmia,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sari Roti Coklat,Makanan,Berdasarkan asosiasi produk dari Udang Windu/kg,"Alat Tulis, Minuman",VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",304,Customer 74: tawarkan Margarin Palmia (Makanan) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
78,Champions,Minuman,Sari Lemon,Yoghurt Cimory,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Micellar Water Somethinc,Perawatan Tubuh,Berdasarkan asosiasi produk dari Sari Lemon,Makanan,VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",304,Customer 78: tawarkan Yoghurt Cimory (Minuman) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
87,Champions,Minuman,Teh Kotak,Sari Lemon,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Beras Rojolele 5kg,Makanan,Berdasarkan asosiasi produk dari Teh Kotak,Makanan,VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",304,Customer 87: tawarkan Sari Lemon (Minuman) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
88,Champions,Minuman,Air Zamzam 250ml,Sari Lemon,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Minyak Goreng Bimoli 1L,Makanan,Berdasarkan asosiasi produk dari Air Zamzam 250ml,Makanan,VIP loyalty,"Berikan voucher eksklusif, akses promo awal, atau gratis ongkir minimum pembelian tertentu.",304,Customer 88: tawarkan Sari Lemon (Minuman) dengan pendekatan VIP loyalty. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
93,Loyal Customers,Minuman,Air Zamzam 250ml,Sari Lemon,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Minyak Goreng Bimoli 1L,Makanan,Berdasarkan asosiasi produk dari Air Zamzam 250ml,Makanan,Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",299,Customer 93: tawarkan Sari Lemon (Minuman) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
1,Potential Loyalist,Minuman,Sprite 240ml,Yakult,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Margarin Palmia,Makanan,Berdasarkan asosiasi produk dari Sprite 240ml,Makanan,Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,291,Customer 1: tawarkan Yakult (Minuman) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
4,Potential Loyalist,Alat Tulis,Buku Tulis Sidu,Map Plastik Kiky,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Surya Pro Mild,Rokok,Berdasarkan asosiasi produk dari Penggaris 30cm,"Makanan, Rokok",Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,291,Customer 4: tawarkan Map Plastik Kiky (Alat Tulis) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
8,Potential Loyalist,Makanan,Ayam Broiler/kg,Gula Pasir Gulaku 1kg,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sticky Notes 3M,Alat Tulis,Berdasarkan asosiasi produk dari Ayam Broiler/kg,"Alat Tulis, Minuman",Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,291,Customer 8: tawarkan Gula Pasir Gulaku 1kg (Makanan) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
12,Potential Loyalist,Perawatan Tubuh,Biskuit Bayi Milna,Sheet Mask Emina,Perawatan Tubuh,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Masker Wardah,Perawatan Tubuh,Berdasarkan asosiasi produk dari Biskuit Bayi Milna,Bayi,Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,291,Customer 12: tawarkan Sheet Mask Emina (Perawatan Tubuh) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.
13,Potential Loyalist,Makanan,Bumbu Racik Soto,Ayam Broiler/kg,Makanan,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Popok Merries,Bayi,Berdasarkan asosiasi produk dari Bumbu Racik Soto,"Alat Tulis, Minuman",Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,291,Customer 13: tawarkan Ayam Broiler/kg (Makanan) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Makanan) agar rekomendasi tetap relevan dengan minat utama pelanggan.
44,Big Spenders,Minuman,Coca Cola 240ml,Kuku Bima Ginseng,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Pembalut Kotex,Perawatan Tubuh,Berdasarkan asosiasi produk dari Coca Cola 240ml,Makanan,Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 44: tawarkan Kuku Bima Ginseng (Minuman) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
47,Big Spenders,Perawatan Tubuh,Sabun Cussons Baby,Sabun Giv,Perawatan Tubuh,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Susu SGM 1+ 400g,Bayi,Berdasarkan asosiasi produk dari Sabun Cussons Baby,Bayi,Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 47: tawarkan Sabun Giv (Perawatan Tubuh) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.
52,Big Spenders,Bayi,Susu Dancow 1+ 400g,Krim Bayi Cussons,Bayi,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Bayi) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Gudang Garam Surya,Rokok,Berdasarkan asosiasi produk dari Susu Dancow 1+ 400g,"Perawatan Tubuh, Rokok",Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 52: tawarkan Krim Bayi Cussons (Bayi) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Bayi) agar rekomendasi tetap relevan dengan minat utama pelanggan.
53,Big Spenders,Bayi,Krim Bayi Cussons,Susu SGM 1+ 400g,Bayi,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Bayi) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Deodorant Rexona,Perawatan Tubuh,Berdasarkan asosiasi produk dari Krim Bayi Cussons,"Perawatan Tubuh, Rokok",Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 53: tawarkan Susu SGM 1+ 400g (Bayi) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Bayi) agar rekomendasi tetap relevan dengan minat utama pelanggan.
56,Big Spenders,Rokok,Pulpen Pilot,LA Light,Rokok,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Rokok) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Indomie Goreng,Makanan,Berdasarkan asosiasi produk dari Pulpen Pilot,"Bayi, Alat Tulis",Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 56: tawarkan LA Light (Rokok) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Rokok) agar rekomendasi tetap relevan dengan minat utama pelanggan.
61,Big Spenders,Minuman,Kuku Bima Ginseng,Teh Kotak,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Saus Sambal ABC,Makanan,Berdasarkan asosiasi produk dari Kuku Bima Ginseng,Makanan,Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 61: tawarkan Teh Kotak (Minuman) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
64,Big Spenders,Rokok,LA Light,Gudang Garam Filter,Rokok,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Rokok) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Kecap ABC,Makanan,Berdasarkan asosiasi produk dari LA Light,"Bayi, Alat Tulis",Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 64: tawarkan Gudang Garam Filter (Rokok) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Rokok) agar rekomendasi tetap relevan dengan minat utama pelanggan.
66,Big Spenders,Minuman,Kuku Bima Ginseng,Teh Kotak,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Sampoerna Mild,Rokok,Berdasarkan asosiasi produk dari Kuku Bima Ginseng,Makanan,Premium bundle,"Tawarkan bundle bernilai lebih tinggi, diskon nominal, atau benefit membership.",289,Customer 66: tawarkan Teh Kotak (Minuman) dengan pendekatan Premium bundle. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
97,Potential Loyalist,Alat Tulis,Map Plastik Kiky,Penggaris 30cm,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Indomie Goreng,Makanan,Berdasarkan asosiasi produk dari Map Plastik Kiky,"Makanan, Rokok",Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,289,Customer 97: tawarkan Penggaris 30cm (Alat Tulis) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
102,Potential Loyalist,Minuman,Yakult,Nescafe Classic,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Penggaris 30cm,Alat Tulis,Berdasarkan asosiasi produk dari Starmild Blue,Makanan,Cross-sell kategori,Dorong pembelian kategori pelengkap berdasarkan pola basket pelanggan sejenis.,289,Customer 102: tawarkan Nescafe Classic (Minuman) dengan pendekatan Cross-sell kategori. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
71,Loyal Customers,Minuman,Sari Lemon,Bear Brand,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Micellar Water Somethinc,Perawatan Tubuh,Berdasarkan asosiasi produk dari Sari Lemon,Makanan,Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",274,Customer 71: tawarkan Bear Brand (Minuman) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
77,Loyal Customers,Alat Tulis,Gunting Fiskars,Map Plastik Kiky,Alat Tulis,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Telur Ayam Kampung,Makanan,Berdasarkan asosiasi produk dari Gunting Fiskars,"Makanan, Rokok",Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",274,Customer 77: tawarkan Map Plastik Kiky (Alat Tulis) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Alat Tulis) agar rekomendasi tetap relevan dengan minat utama pelanggan.
82,Loyal Customers,Perawatan Tubuh,Shampoo Clear,Masker Wardah,Perawatan Tubuh,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Beras Rojolele 5kg,Makanan,Berdasarkan asosiasi produk dari Shampoo Clear,Bayi,Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",274,Customer 82: tawarkan Masker Wardah (Perawatan Tubuh) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Perawatan Tubuh) agar rekomendasi tetap relevan dengan minat utama pelanggan.
83,Loyal Customers,Bayi,Popok Merries,Biskuit Bayi Milna,Bayi,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Bayi) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Teh Sariwangi,Minuman,Berdasarkan asosiasi produk dari Popok Merries,"Perawatan Tubuh, Rokok",Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",274,Customer 83: tawarkan Biskuit Bayi Milna (Bayi) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Bayi) agar rekomendasi tetap relevan dengan minat utama pelanggan.
92,Loyal Customers,Minuman,Teh Kotak,Sari Lemon,Minuman,Favorite category recommendation,Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.,Beras Rojolele 5kg,Makanan,Berdasarkan asosiasi produk dari Teh Kotak,Makanan,Reward pembelian ulang,"Tawarkan poin loyalitas, rekomendasi repeat order, dan bundling kategori favorit.",274,Customer 92: tawarkan Sari Lemon (Minuman) dengan pendekatan Reward pembelian ulang. Alasan: Produk dipilih dari kategori favorit pelanggan (Minuman) agar rekomendasi tetap relevan dengan minat utama pelanggan.
